구 분,용 어,설 명
171,퇴직자 명부,"성명, 주민등록번호, 입사연월일, 퇴직연월일, 퇴직사유, 기준임금 등을 기록한 최근 3년간 퇴직자 명부. 예정 퇴직율 산출시 사용"
172,투자수익률,퇴직연금에 납입한 부담금을 장기예측 시에 이자를 감안하기 위해 사용 되는 율
173,특별계정,가입자를 대신하여 펀드를 관리하는 사용자나 기관으로부터 법적으로 분리된 연금펀드
174,특정금전신탁,금융기관이 고객으로부터 예탁받은 자금을 고객이 지정한 운용방법·조건에 따라 운용한 후 운용 수익을 배당하는 신탁
175,펀드(fund),"다수의 고객으로부터 자금을 모아서 대규모의 공동기금을 형성하여 전문적인 운용기관이 주식,채권 등에 투자하고 그에 따른 성과를 고객에게 분배하는 간접투자상품"
176,평균임금,"퇴직 등 사유가 발생한 날 이전 3개월 간 근로자에게 지급된 임금총액을 그 기간의 총 일수로 나눈 금액. 다만 이렇게 산출된 금액이 당해 근로자의 통상임금보다 낮은 경우, 통상임금을 평균임금으로 함"
177,포트폴리오(portfolio),주식투자에서 위험을 줄이고 투자수익을 극대화하기 위한 일환으로 여러 종목에 분산 투자하는 방법
178,표준부담금(NC),장래 근무기간 분에 해당하는 급여 지급을 위하여 계산되는 부담금으로 퇴직연금제도에 가입하게 되는 경우 연금계리방식에 의해 산출한 값 중 미래 1년 근무 분에 해당하는 부담금을 산출한 금액 (Normal Cost) 국제회계기준의 당기근무원가에 해당하는 금액. 율 ->산출방법 = 표준부담금액 / 급여총합계
179,표준승급률,"국내의 전체 근로자를 대상으로 미리 산출 된 율로 보험개발원 또는 노동부율을 적용하며 300인 미만의 기업, 신설기업에 적용"
180,표준퇴직률,"국내의 전체 근로자를 대상으로 미리 산출 된 율로 보험개발원 또는 노동부율을 적용하며 300인 미만 의 기업, 신설기업에 적용 (남녀별도 적용률)"
181,혼합형,"개인이 확정급여형, 확정기여형에 동시가입을 허용하는 제도 (예) DB : DC = 60 : 40"
182,혼합형펀드(balanced fund),주식형이나 채권 형 이외의 펀드로 주식과 채권의 효율적 자산 배분을 통해 주식의 수익성과 채권의 안정성을 동시에 추구하는 펀드를 의미. 주식에 상대적으로 더 많이 투자하는 주식혼합형과 채권에 상대적으로 더 많이 투자하는 채권혼합형으로 구분
183,화의,파산을 예방할 목적으로 채무 정리에 관하여 채권자와 채무자 사이에 맺는 강제 계약
184,확정급여채무 [VBO : Vested Benefit Obligation] ,"현시점에서 제도를 종료시킨다는 가정 하에 지급해야 할 금액(수급권이 확보된 금액). 즉, 수급권 획득자는 급부 수급 중인 자, 퇴직한 연금수급권자, 수급권이 있는 근로자가 됨. "
185,확정급여채무 현재가치(PBO),기말의 근로자명부를 가지고 PUC방식에 의해 산출된 과거근무채무(PSL)의 총액으로 회계상 표기 시 확정급여채무(PBO)라 표기함
186,확정급여형(DB),근로자가 받을 퇴직급여의 수준이 사전에 결정되는 제도->법정 퇴직급여 : 30일분 이상의 평균 임금 *근속년수별 지급률
187,확정기여형(DC),기업이 적립해야 할 부담금이 일정비율로 사전에 정해져 있는 제도. ->법정 부담금 : 근로자 연간 임금 총액의 1/12 이상
188,환매,"판매회사가 고객에게 매각한 수익증권을 고객의 요청에 따라 일정한 조건(환매수수료 부과) 등으로 판매회사가 다시 매입하는 것. 개방형 뮤추얼펀드는 언제든 환매가 가능하나, 폐쇄형 뮤추얼펀드는 만기까지 환매가 불가능"
189,환매수수료,정해진 투자기간 이전에 펀드를 환매(투자자의 입장에서는 출금 또는 해지)할 때 부과되는 수수료. 수익자의 환매를 억제함으로써 투자신탁의 운용에 안정을 기하고 환매에 따른 사무처리 비용에 충당하기 위해 징구하는 일종의 중도해지 수수료의 성격을 지님
190,환매조건부채권,발행기관이 약정기간의 경과 후에 일정한 가격으로 동일한 채권을 다시 사거나 파는 조건으로 채권을 매매하는 것으로 경과기간에 따른 확정이자를 지급하는 채권
191,후순위채권,채권 발행기업이 파산하였을 경우 채무 변제범위에서 일반 채권보다는 뒤지나 우선주나 보통주보다는 우선하는 채권
192,CD,정기예금을 양도가 가능하게 하여 문서로 증서화 함으로써 유동성을 부여한 무기명 정기예금증서
193,CMA,예탁금을 어음이나 채권에 투자하여 그 수익을 고객에게 돌려주는 실적배당 금융상품
194,EET 세제체계(EET system),부담금 납입단계와 적립금 운용단계에서 비과세 후 연금급여 수령단계에서 연금소득으로 과세하는 세제 체계
195,이율보증형(GIC),생명보험 회사가 퇴직연금기금 등에서 자금운용을 위탁 받아 미리 약정한 원리금을 기금에 지불하는 보험형태 연금계약의 일종 
196,MMF(Money Market Fund),기업어음(CP)·양도성 예금증서(CD)·콜론 등 주로 단기금융상품에 집중 투자하여 얻은 수익을 고객에게 되돌려 주는 안정적이고 유동성이 높은 초단기 금융상품
